Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_47,0.25xMIC,0.863,0.9007,0.8658,0.8641,0.8774,0.8647,0.8726166666666667
drug_47,0.5xMIC,0.8555,0.8367,0.8236,0.8531,0.9073,0.8242,0.8500666666666667
drug_47,1xMIC,0.7502,0.7321,0.7155,0.7199,0.7389,0.7441,0.73345
drug_48,0.000xMIC,0.8562,0.9331,0.8602,0.8496,0.8712,0.8889,0.8765333333333333
drug_48,0.125xMIC,0.5657,0.5659,0.5542,0.5431,0.5663,0.5457,0.5568166666666666
drug_48,0.25xMIC,0.4755,0.4641,0.3226,0.4206,0.4522,0.4222,0.42619999999999997
drug_48,2xMIC,0.2907,0.3059,0.3229,0.3087,0.303,0.3259,0.30951666666666666
drug_49,0.000xMIC,0.8661,0.8232,0.8801,0.8589,0.8921,0.8831,0.86725
drug_49,0.125xMIC,0.7418,0.7495,0.7524,0.7687,0.7529,0.7676,0.7554833333333333
drug_49,0.25xMIC,0.6381,0.6051,0.6652,0.6227,0.5998,0.5731,0.6173333333333334
drug_49,0.5xMIC,0.4171,0.3988,0.4293,0.4096,0.3406,0.3931,0.39808333333333334
drug_5,0.000xMIC,0.8554,0.9323,1.0937,1.2179,1.2035,1.1537,1.0760833333333333
drug_5,0.5xMIC,0.6045,0.6206,0.6538,0.5745,0.588,0.65,0.6152333333333334
drug_5,1xMIC,0.4917,0.5171,0.5477,0.5539999999999999,0.5246,0.541,0.5293499999999999
drug_5,2xMIC,0.503,0.4236,0.5119,0.4497,0.4047,0.4729,0.4609666666666667
drug_50,0.000xMIC,1.0063,0.9675,0.9977,0.8695,0.9236,0.9051,0.94495
drug_50,2xMIC,0.4294,0.4155,0.4096,0.4341,0.3837,0.3922,0.41074999999999995
drug_50,4xMIC,0.3893,0.405,0.3547,0.3923,0.397,0.3482,0.3810833333333334
drug_50,8xMIC,0.366,0.4191,0.3881,0.4175,0.3936,0.3936,0.39631666666666665
drug_51,0.000xMIC,1.0652,1.1564,1.0426,1.1162,1.0804,0.9479,1.0681166666666666
drug_51,0.25xMIC,1.0649,1.1309,1.1028,0.9665,1.0288,0.9131,1.0345000000000002
drug_51,0.5xMIC,1.0989,1.1518,1.2218,1.1946,1.1444,0.9734,1.1308166666666668
drug_51,1xMIC,0.6127,0.6274,0.7008,0.6246,0.7054,0.6788,0.6582833333333333
drug_52,0.000xMIC,0.9626,1.0334,1.0311,1.0424,1.0853,1.0795,1.0390499999999998
drug_52,2xMIC,0.8305,0.7741,0.8149,0.8937,0.8518,0.8071,0.8286833333333333
drug_52,4xMIC,0.8431,0.8669,0.8225,0.8666,0.8668,0.8368,0.85045
drug_52,8xMIC,0.7967,0.7837,0.8267,0.7979999999999999,0.8101,0.8256,0.8068
drug_53,0.000xMIC,1.0504,1.0002,0.995,1.0167,0.9898,0.9222,0.9957166666666667
drug_53,0.5xMIC,0.9718,1.0992,1.1233,1.0351,0.9774,0.9783,1.03085
drug_53,1xMIC,0.9792,0.8506,0.9271,0.9356,0.8442,1.0129,0.9249333333333333
drug_53,2xMIC,0.4004,0.3547,0.3848,0.3903,0.4108,0.3773,0.3863833333333333
drug_54,0.000xMIC,0.9845,1.0637,1.0511,1.1497,0.8471,0.9215,1.0029333333333332
drug_54,0.25xMIC,0.9111,0.9590000000000001,0.9437,0.9062,0.9305,0.8437,0.9157000000000001
drug_54,0.5xMIC,0.861,0.875,0.8416,0.9063,0.8774,0.8859,0.8745333333333334
drug_54,1xMIC,0.5603,0.6349,0.6034,0.5932,0.5859,0.5884,0.59435
drug_55,0.000xMIC,1.069,1.0224,1.0311,1.0635,1.0664,1.0373,1.0482833333333332
drug_55,0.5xMIC,0.9311,0.943,0.9923,0.9544,0.9812,0.8616,0.9439333333333333
drug_55,1xMIC,0.7767,0.7741,0.6918,0.6758,0.7259,0.6890000000000001,0.7222166666666667
drug_55,2xMIC,0.4297,0.4901,0.4631,0.4932,0.3895,0.4193,0.4474833333333333
drug_56,0.000xMIC,1.0042,0.9946,0.9790000000000001,0.9938,1.0109,0.9856,0.9946833333333333
drug_56,2xMIC,0.8004,0.8137,0.7317,0.7816,0.7694,0.7358,0.7721
drug_56,4xMIC,0.6615,0.6996,0.6925,0.665,0.6745,0.6381,0.6718666666666667
drug_56,8xMIC,0.5562,0.5997,0.5701,0.6577,0.5607,0.5365,0.58015
drug_57,0.000xMIC,0.8857,0.973,0.9739,0.8971,0.9716,0.8866,0.9313166666666666
drug_57,2xMIC,0.6962,0.7472,0.7147,0.7372,0.6645,0.6844,0.7073666666666667
drug_57,4xMIC,0.638,0.6652,0.7131,0.7132,0.6973,0.6919,0.6864500000000001
drug_57,8xMIC,0.3588,0.4637,0.4176,0.3937,0.41700000000000004,0.4048,0.4092666666666666
drug_58,0.000xMIC,1.0123,1.0032,1.0170000000000001,1.0247,1.0122,0.9925,1.0103166666666668
