,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.187,0.07099115879991272,0.0,0.34895966832574027,-0.016304873158317693,-0.0014106325766188846,0.0
strain.188,0.0,0.0,0.0,-0.010892101227300116,0.0,0.0
strain.189,0.0,0.0,0.0,0.0,0.13123136499819313,0.0
strain.19,0.0,0.0,0.0,-0.20576695048978375,0.002995738064795474,0.0
strain.190,0.0015504077853021505,0.0011758407157310383,-0.10284103575606134,-0.02124159338137919,0.004223984960517085,0.0
strain.191,0.0,0.0,0.0,0.0,0.48739216668088775,0.0
strain.192,0.0,0.0,0.0,0.0,0.0,0.0
strain.193,-0.0015547046117744682,0.0,0.0,0.0,0.0,0.0
strain.194,-0.005987061465494216,0.0,-0.6306659035390275,0.5069748802176832,0.0,0.0007528202563932476
strain.195,0.1897826120542151,0.0,0.0,-0.02079378165619986,-0.00467234904292176,0.0
strain.196,0.22236270493228208,-0.009254238352280926,0.0,0.0,0.0018707940478932302,0.0
strain.197,-0.0380411701129483,0.0,0.00105322381720655,-0.3199087019991667,0.0,0.12038608824669766
strain.198,0.0,0.0,0.0,0.0,0.0,-0.27085233451818047
strain.199,0.0,0.0,0.0012291223989660675,0.0,-0.3846079779295059,0.30904853690571316
strain.2,-0.0008764596753806146,0.0,0.0,0.0,0.0,0.0
strain.20,-0.2724016661206746,0.0,0.00027654973495052726,-0.0007808681753440866,0.0,0.0
strain.200,-0.09917082595743941,0.0,0.0,0.0,0.0,0.0
strain.201,0.0,0.0,-0.1721920393196554,0.5090604847849317,0.0,0.0
strain.202,0.0,0.0,-0.013645298966564082,0.0,0.24607844353614639,0.0
strain.203,-0.3397654802023168,0.0,0.6669347620332882,0.2906711714111235,0.005931821563435795,8.606322384358812e-05
strain.204,0.0,0.0,0.0,0.0,0.0,0.0
strain.205,0.0,0.0,0.0,0.0,0.0,-0.0003005386425485297
strain.206,0.0,0.0,0.0,0.0,0.0,0.0
strain.207,0.0,0.0,-0.5413481198397375,0.6205661282434706,0.0,-0.0016872973269454923
strain.208,0.024795690230659292,0.0,0.0,0.0,-0.8019651424862967,-0.00202356659571621
strain.209,-0.0017394114395488081,0.0,0.0,-0.01460852361900842,-0.03683318873789305,0.02718695301474423
strain.21,0.0,0.0,0.12702994654669486,0.49154751394967544,0.0,-0.010251224492600334
strain.210,-0.20302444732935773,0.08118590421040252,0.003476094777257259,0.00018265443442993604,0.001301560972394114,-8.656045005132002e-05
strain.211,0.0,0.0,0.0,0.0,0.004661474964255302,0.0
strain.212,-0.11728724095460205,0.0,0.0,0.0,0.0,0.0
strain.213,0.1090387697610529,0.0,0.0,0.0,-0.05008587214332274,0.0
strain.214,0.0,0.0,-0.0032398426822846625,-0.006459262876581648,0.6999548743856366,0.0
strain.215,-0.012267137590822274,-0.010704322541944708,0.0,0.40443629372080936,0.0,0.9744490670080821
strain.216,0.0,0.0,0.0,0.0,0.0,0.009737063238849068
strain.217,0.0,0.0,0.0,0.05377080618674592,0.0,0.0
strain.218,0.0,0.0,0.0,0.07096819526741291,-0.0006678110175962988,0.0
strain.219,0.0,0.0,0.0,-0.22011548323369184,0.0009960111079478629,0.0
strain.22,0.0,0.0,0.0,0.0,0.0,0.005339753397964713
